clasificacion,,texto,
Falso,La desinformación af,"La desinformación afirma que Netflix sería la plataforma en la cual se estrenaría la serie sobre las causas “Cuadernos de las coimas” y “La ruta del dinero K”. Sin embargo, esto fue desmentido por Netflix desde su cuenta oficial de Twitter y por el periodista en su programa de radio.",
Falso,Francis Coppola conf,Francis Coppola confirmó una cuarta parte de la saga “El Padrino” inspirada en la Argentina,
Falso,Se trata de una entr,"Se trata de una entrevista ficticia al director estadounidense, que forma parte de una columna humorística del diario Infobae de 2017 y fue replicada fuera de contexto. El autor de la pieza confirmó a Chequeado que se trata de algo inventado.",
Falso,Se puede circular ún,Se puede circular únicamente con la cédula verde vencida sin ser el propietario del automotor,
Falso,La Ley Nacional de T,"La Ley Nacional de Tránsito y sus modificaciones destacan que para el titular del automotor la cédula verde no tiene vencimiento pero que, si el vehículo es conducido por un tercero, esta cédula tiene vigencia de un año y, a partir de ese momento, debe poseer la cédula azul.",
Falso,Encontraron 100 kilo,Encontraron 100 kilos de cocaína en el auto de una “pareja” de Elisa Carrió,
Falso,La desinformación af,"La desinformación afirma que la supuesta noticia fue difundida por la “Procuraduría General de la República”. Sin embargo, ese organismo no existe en la Argentina y desde el único con nombre similar, la Procuración General de la Nación, señalaron a Chequeado que esto es falso.",
Falso,Están vivos tres des,Están vivos tres desaparecidos de la última dictadura,
Falso,Los nombres de los s,Los nombres de los secuestrados figuran en padrones electorales porque así lo determinó un decreto de la ex presidenta Cristina Fernández de Kirchner. Aparecen con la siguiente leyenda: “Elector ausente por desaparición forzada”.,
Falso,Jorge Rial insultó a,Jorge Rial insultó a María Eugenia Vidal al aire,
Falso,En Facebook circulan,"En Facebook circulan publicaciones que afirman que el conductor de Intrusos insultó a la gobernadora de la provincia de Buenos Aires al aire en uno de sus últimos programas. Pero Chequeado pudo comprobar que en su programa Rial no lo hizo, y además, el periodista lo desmintió.",
Falso,En algunos productos,"En algunos productos agropecuarios los derechos de exportación actualmente son mayores que en 2015, pero en los principales granos el porcentaje bajó. Los especialistas destacan que, más allá de los porcentajes, antes había otros mecanismos que perjudicaban a los productores, como límites para exportar y el cepo cambiario.",
Falso,Un grupo de militant,Un grupo de militantes kirchneristas atacaron a María Eugenia Vidal,
Falso,El ataque nunca exis,"El ataque nunca existió. El día en el que supuestamente ocurrió el hecho la gobernadora realizó visitas a vecinos de San Martín, según difundió en sus redes. En ningún momento se refirió a un ataque.",
Falso,Prohibieron la salid,Prohibieron la salida del país de Roberto Baradel y embargaron sus bienes,
Falso,Supuestamente la res,"Supuestamente la resolución judicial que determinó eso fue publicada a comienzos de enero en el Centro de Información Judicial (CIJ); sin embargo, no existe nada similar. La única publicación de este órgano sobre el dirigente sindical es de mayo del año último y es sobre otro tema.",
Falso,Hay un examen del Co,Hay un examen del Colegio Nacional de Buenos Aires completado con lenguaje inclusivo,
Falso,La supuesta alumna q,"La supuesta alumna que lo realizó y la docente que lo calificó, no existen. Así lo confirmó Gustavo Zorzoli, rector de la institución, en una entrevista radial. Además, en la imagen de la supuesta prueba el nombre de la escuela está incompleto.",
Falso,Michetti tuiteó que ,Michetti tuiteó que los jujeños deberían dejar de atenderse en hospitales argentinos,
Falso,El tuit que circula ,"El tuit que circula por redes sociales es una parodia y no surgió de la cuenta oficial de la vicepresidenta de la Nación. Además, el mensaje fue desmentido por ella.",
Falso,Florencia Peña fue g,Florencia Peña fue golpeada por su ex pareja,
Falso,El episodio nunca ex,"El episodio nunca existió. Además, esta desinformación es vieja, de hecho ya circuló con el mismo texto en junio del año pasado.",
Falso,La Justicia de Nicar,La Justicia de Nicaragua desestimó la denuncia de Thelma Fardín contra Juan Darthés,
Falso,El Tribunal de Apela,"El Tribunal de Apelaciones de Managua, capital de dicho país, confirmó a Chequeado que la investigación continúa. Además, las desinformaciones que señalaban lo contrario ya habían sido desmentidas en diciembre último por la abogada de la actriz.",
Falso,La discriminación sa,"La discriminación salarial entre hombres y mujeres por igual condición laboral se ubica en el 15 por ciento. Se llega al 26% si se consideran otros factores no relacionados con las mismas tareas, como la cantidad de horas y los cargos que ocupan las mujeres.",
Falso,Encontraron US$ 6 mi,Encontraron US$ 6 millones en la casa de la cuñada de Santiago Maldonado durante un operativo policial,
Falso,"El contenido, que ci","El contenido, que circula por redes sociales, fue desmentido por la Policía Federal, por Gendarmería y por la abogada de la familia Maldonado.",
Falso,En los audios que se,"En los audios que se publicaron la ex mandataria no afirma eso ni nada similar. Además, la publicación falsa no incluye la supuesta grabación a la que alude ni da ningún detalle sobre cuándo habría sucedido ni en qué contexto. Esta misma desinformación circuló en 2018.",
Falso,la foto de una playa,la foto de una playa con agua cristalina no es de Formosa sino de las Islas Fiyi,
Falso,La imagen con la que,La imagen con la que se ilustró una publicación en Facebook en realidad pertenece a una costa del país ubicado en el Océano Pacífico y no a la laguna provincial que existe en la provincia gobernada desde 1995 por Gildo Insfrán.,
Falso,Es verdadero que la ,Es verdadero que la inflación de 2018 fue la más alta desde 1991,
Falso,El INDEC publicó que,"El INDEC publicó que la inflación de diciembre fue de 2,6 por ciento. Si se observan los datos oficiales, en 2018 la suba del IPC alcanzó el 47,6% y fue la más alta de los últimos 27 años.",
Falso,En España se suicida,En España se suicidan dos mil hombres al año por denuncias falsas de sus ex mujeres,
Verdadero,En ese país no exist,En ese país no existen estadísticas que informen la causa de una muerte autoprovocada e institutos oficiales españoles confirmaron que esa variable no está detallada en las cifras. Se trata de una desinformación que circula desde 2017.,
Falso,Sergio Maldonado fue,Sergio Maldonado fue procesado por estafa y hostigamiento al Gobierno,
Falso,La nota señala que e,La nota señala que el hermano del joven fallecido en 2017 fue procesado junto con otros familiares. Pero su abogada confirmó a Chequeado que no fue notificada de ninguna denuncia ni procesamiento y el Ministerio de Seguridad de la Nación aclaró que no realizó ninguna denuncia contra la familia Maldonado.,
Falso,Pablo Echarri dijo q,Pablo Echarri dijo que “si llevan presa a Cristina vamos a matar a Macri”,
Falso,Las declaraciones no,"Las declaraciones no existieron, de hecho el actor confirmó a este medio que nunca dijo eso en contra del Presidente. Además, esta misma desinformación circuló meses atrás.",
Falso,No existe un informe,"No existe un informe nacional que clasifique los homicidios por el motivo que fueron cometidos. Pero en los principales distritos del país, que concentran más de la mitad de los asesinatos, los homicidios dolosos por conflictos entre los integrantes de una familia no llegan a representar el 20% del total.",
Falso,Un grupo de kirchner,Un grupo de kirchneristas intentó asesinar a Mirtha Legrand,
Falso,La desinformación se,"La desinformación señala que el supuesto hecho ocurrió en Palermo el 5 de enero último. Sin embargo, ese fin de semana la conductora se encontraba transmitiendo su programa desde Mar Del Plata.",
Falso,Atraparon a Jorge Ri,Atraparon a Jorge Rial con drogas ilegales en su auto,
Falso,Un sitio publicó que,"Un sitio publicó que se encontró cocaína, éxtasis y LSD en el vehículo del periodista. Pero la información fue desmentida a Chequeado tanto por los ministerios de Seguridad de la Nación y de la Ciudad de Buenos Aires como por el periodista.",
Falso,La foto original fue,"La foto original fue espejada en sentido inverso y no cuenta con la figura del ex presidente de Uruguay. Además, circula en blogs de turismo de la ciudad desde 2011, y la foto trucada, desde 2013.",
Falso,Encontraron armas y ,Encontraron armas y drogas en la casa de Baradel,
Falso,La versión que circu,La versión que circula por redes sociales fue desmentida por los ministerios de Seguridad nacional y de la Provincia de Buenos Aires.,
Falso,Si bien las cerezas ,"Si bien las cerezas argentinas ya ingresaban a China mediante la región especial de Hong Kong, el Gobierno nacional anunció que ahora podrán entrar directo al país asiático, algo que se buscaba desde la administración anterior y según los especialistas genera nuevos beneficios.",
Falso,Inhabilitaron a CFK ,Inhabilitaron a CFK para ser candidata a cualquier cargo público,
Falso,La ex presidenta se ,"La ex presidenta se encuentra procesada en seis causas judiciales, tres de las cuales ya llegaron a juicio oral. En otra más se la sigue investigando pero se dictó la falta de mérito. Sin embargo, en ninguna se determinó la inhabilitación para ejercer cargos públicos.",
Falso,Del total de detenid,"Del total de detenidos a lo largo del país, sólo un 6% son extranjeros. La cifra alcanza el número mencionado por Bullrich si sólo se contabiliza a los presos en cárceles federales.",
Falso,Un sitio publicó que,"Un sitio publicó que el actor afirmó esto en contra de la gobernadora de la provincia de Buenos Aires. Pero esta declaración no existió en ninguna de sus entrevistas. Además, el ex productor de Ideas del Sur confirmó a este medio que nunca dijo eso.",
Falso,Diego Brancatelli ha,Diego Brancatelli haya sostenido que “pagar a los jubilados es gastar plata”,
Falso,En ninguna entrevist,"En ninguna entrevista el periodista de “Intratables” afirmó eso, y Brancatelli confirmó que las declaraciones nunca fueron dichas por él.",
Falso,Hallaron una bóveda ,Hallaron una bóveda de Roberto Baradel con millones de dólares,
Falso,La versión que circu,"La versión que circula por redes sociales fue desmentida por el Ministerio de Seguridad nacional, a cargo de Patricia Bullrich. La cuenta de Facebook que originó la noticia falsa publicó información relacionada con México y se la atribuyó al dirigente gremial bonaerense.",
Falso,El hijo del senador ,El hijo del senador bonaerense Luis Vivona fue detenido con 250 kilos de marihuana en Misiones,
Falso,La Jefatura de Polic,"La Jefatura de Policía de dicha provincia confirmó que la información es falsa y que ni esa fuerza ni las fuerzas federales registraron un procedimiento de este tipo. Además, tanto el senador como su hijo desmintieron el hecho.",
Falso,Vialidad Nacional an,"Vialidad Nacional analizó dos casos testigo de la anterior gestión donde se ve que los costos son mayores a obras licitadas en Cambiemos. Igualmente, fueron comparadas con obras que todavía no están terminadas y pueden tener ampliaciones.",
Falso,Renunció el presiden,Renunció el presidente Mauricio Macri,
Falso,Una publicación seña,"Una publicación señala que el jefe de Estado renunció a sus funciones el 27 de diciembre de 2018. Sin embargo, ninguna fuente publicó alguna información que así lo corrobore.",
Falso,El video corresponde,"El video corresponde a una tormenta ocurrida hace más de dos años en la localidad de Dolores, en Uruguay, y no en el partido bonaerense de La Matanza.",
Falso,Sofía Gala amenazó c,Sofía Gala amenazó con “romperle la cara” a Antonia Macri si no se aprueba la despenalización del aborto,
Falso,Las supuestas declar,Las supuestas declaraciones fueron desmentidas por la actriz y su madre. La noticia falsa ya había sido publicada anteriormente por otros sitios y fue verificada por Chequeado en mayo último.,
Falso,Es verdadero que Bab,Es verdadero que Baby Etchecopar deberá ceder diez minutos de su programa a especialistas en violencia de género,
Falso,De acuerdo con la “p,"De acuerdo con la “probation” que firmó el conductor con la fiscalía, también deberá donar 15 mil pesos a Cáritas. Las intervenciones se empezarán a transmitir a partir de marzo por cinco meses.",
Falso,En Inglaterra musulm,En Inglaterra musulmanes envenenan perros y piden que sean prohibidos “por respeto al islam”,
Verdadero,Personas de de una r,Personas de de una religión envenenan perros y piden su prohibición,
